Status,Company,Role,Location,Source,Attendance,Application,Type,Phone call,1st interview,2nd interview,3rd interview,Proposition,Final answer,URL
Applied,,Data Engineer,Paris,Pole emploi,,07/09/2023,Offer,,,,,,,https://candidat.pole-emploi.fr/offres/recherche/detail/161CMTP
Applied,adversio,Data Scientist,Puteaux,Apec,,07/09/2023,Offer,,,,,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/171870146W?xtor=AL-406
Rejected,IDEMIA,AI,Osny,Carrer Site,,07/09/2023,Offer,,,,,,19/09/2023,https://careers.idemia.com/job/OSNY-Ing%C3%A9nieur-Recherche-Deep-Learning-Osny-95520/868674201
Applied,StereoLabs,AI,Paris,Carrer Site,,07/09/2023,Offer,,,,,,,https://careers.stereolabs.com/o/ingenieur-deep-learning-3d-computer-vision-2-5
Applied,StereoLabs,AI,Paris,Carrer Site,,07/09/2023,Offer,,,,,,,https://careers.stereolabs.com/o/ingenieur-computer-vision-2
Rejected,IDEMIA,AI,Courbevois,Carrer Site,,07/09/2023,Offer,,,,,,19/09/2023,https://careers.idemia.com/job/Courbevoie-Ing%C3%A9nieur-Recherche-Deep-Learning-92400/978432601/
Applied,Descartes Underwriting,Data Scientist,Paris,LinkedIn,,07/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3714237783
Applied,Niji,Data Scientist,,Carrer Site,,07/09/2023,Spontaneous,,,,,,,
Applied,talentbase.tech,AI,Germany,LinkedIn,Remote,07/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3713870839
Rejected,Summ.link,AI,,LinkedIn,Remote,07/09/2023,Offer,,,,,,09/09/2023,https://www.linkedin.com/jobs/view/3691814700
Rejected,Safran,Data Scientist,Paris,Carrer Site,,07/09/2023,Offer,,,,,,10/11/2023,https://www.safran-group.com/fr/offres/france/colombes/data-scientist-fh-117906
Applied,DXOMARK,AI,Paris,Carrer Site,Remote,11/09/2023,Offer,,,,,,,https://dxomark-image-labs.breezy.hr/p/ecd3f32d176201-machine-learning-engineer-eng?state=published
Rejected,TechnicAtome,Data Scientist,Aix-en-Provence,LinkedIn,On-site,11/09/2023,Offer,,,,,,23/09/2023,https://www.linkedin.com/jobs/view/3709986856
Rejected,InstaDeep,AI,Paris,LinkedIn,Hybrid,11/09/2023,Offer,,,,,,13/09/2023,https://www.linkedin.com/jobs/view/3713152693
Rejected,InstaDeep,AI,Paris,Carrer Site,Hybrid,11/09/2023,Offer,,,,,,02/10/2023,https://jobs.eu.lever.co/instadeep/8129667d-80b0-4361-8baf-c90ed17b2bc3
Rejected,Nextra,Data Scientist,Marseille,Carrer Site,Hybrid,11/09/2023,Offer,,,,,,12/10/2023,https://nextra-partners.welcomekit.co/jobs/consultant-data-strategy_marseille
Rejected,Nextra,Data Engineer,Marseille,Carrer Site,Hybrid,11/09/2023,Offer,,,,,,26/10/2023,https://nextra-partners.welcomekit.co/jobs/data-engineer_marseille_NEXTR_g6gOXYN
Applied,Nextra,Data Scientist,,Carrer Site,,11/09/2023,Spontaneous,,,,,,,
Applied,Clone,Data Scientist,Paris,LinkedIn,On-site,11/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3711219652
Rejected,AKKODIS,Data Scientist,,Carrer Site,,11/09/2023,Spontaneous,,,,,,21/09/2023,
Applied,AKKODIS,Data Scientist,Torino,Carrer Site,,11/09/2023,Offer,,,,,,,https://talentsoft.akka-technologies.com/job/job-junior-data-scientist-automotive_28769.aspx
Applied,AKKODIS,AI,Milano,Carrer Site,,11/09/2023,Offer,,,,,,,https://talentsoft.akka-technologies.com/job/job-computer-vision-and-machine-learning-engineer-settore-industry_14018.aspx
Rejected,MAIF,Data Scientist,Niort,Carrer Site,,11/09/2023,Offer,,,,,,15/09/2023,https://recrutement.maif.fr/Pages/Offre/detailoffre.aspx?idOffre=5522&idOrigine=514&LCID=1036&offerReference=2023-5522&BoardID=506
Rejected,MAIF,Data Engineer,Niort,Carrer Site,,11/09/2023,Offer,,,,,,13/09/2023,https://recrutement.maif.fr/offre-de-emploi/emploi-data-engineer-socrate-h-f_5508.aspx
Rejected,MAIF,Data Engineer,Niort,Carrer Site,,11/09/2023,Offer,,,,,,14/09/2023,https://recrutement.maif.fr/offre-de-emploi/emploi-data-engineer-socle-h-f_5509.aspx
Applied,MAIF,Data Scientist,,Carrer Site,,11/09/2023,Spontaneous,,,,,,,
Applied,Probayes,Data Scientist,Paris,Apec,,11/09/2023,Offer,,,,,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/171845091W
Rejected,Airbus,Data Scientist,Manching,Carrer Site,,11/09/2023,Offer,,,,,,23/09/2023,https://ag.wd3.myworkdayjobs.com/fr-FR/Airbus/job/Manching/Big-Data-Scientist-for-the-Services-Analytics-Plateau_JR10179186?q=data%20scientist
Rejected,Airbus,Data Analyst,Montréal,Carrer Site,,11/09/2023,Offer,,,,,,20/09/2023,https://ag.wd3.myworkdayjobs.com/fr-FR/Airbus/job/Montreal-Area/Airbus-Canada---Nouveau-Gradu---Professionnel-en-Ingnierie---New-Grad---Engineering-Professional_JR10220857
Applied,Iroko,Data Analyst,Paris,Welcome to the Jungle,Hybrid,11/09/2023,Offer,,,,,,,https://www.welcometothejungle.com/fr/companies/iroko/jobs/data-analyst-cdi_paris
Rejected,Veltys,Data Scientist,Paris,Welcome to the Jungle,Hybrid,11/09/2023,Offer,,,,,,11/09/2023,https://www.welcometothejungle.com/fr/companies/veltys/jobs/consultant-en-strategie-et-data-science_paris
Rejected,Mawenzi Partners,Data Scientist,Paris,Welcome to the Jungle,Hybrid,11/09/2023,Offer,,,,,,13/09/2023,https://www.welcometothejungle.com/fr/companies/mawenzi-partners/jobs/data-scientist_paris
Applied,Proteqt,Data Engineer,The Randstad,LinkedIn,Hybrid,11/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3717725076
Applied,IBM,Data Scientist,,Carrer Site,,11/09/2023,Spontaneous,,,,,,,
Rejected,TotalEnergies,Data Scientist,Pau,Carrer Site,,12/09/2023,Offer,,19/09/2023 15:30,,,,15/11/2023,https://totalenergies.avature.net/en_US/careers/JobDetail?jobId=38622
Turn down,TotalEnergies,Data Analyst,Pau,Reach-out,,,,,06/11/2023 9:00,,,15/11/2023,15/11/2023,
No project for now,ALTEN,Data Scientist,Paris,Reach-out,,,,18/09/2023,25/09/2023 16:00,,,,27/10/2023,
Turn down,ALTEN,Data Scientist,Nantes,Reach-out,On-site,,,19/09/2023,20/09/2023 11:00,25/09/2023 17:00,,26/09/2023,05/10/2023,
Rejected,Belgatech,,Belgique,Reach-out,,,,20/09/2023,29/09/2023 15:00,,,,27/10/2023,
Applied,Witts,Data Scientist,Spain,LinkedIn,Remote,12/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3714465762
Applied,Human Biome Instute,Data Scientist,Poland,LinkedIn,Remote,12/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3714451546
Applied,Inetum,Data Engineer,St Ouen,LinkedIn,On-site,12/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3718404450
Applied,Schindler,Data Analyst,Vélizy-Villacoublay,LinkedIn,On-site,12/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3714121477
Rejected,Decaposte,Data Engineer,Lyon,Carrer Site,,12/09/2023,Offer,,,,,,25/09/2023,https://docaposte-recrute.profils.org/offre-de-emploi/emploi-data-engineer-f-h_4471.aspx
Applied,Accessible Intelligence,Data Scientist,United Kingdom,LinkedIn,Remote,12/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3710504410
Applied,Apziva,Data Scientist,United Kingdom,LinkedIn,Remote,12/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3714452563
Applied,harnam,Data Engineer,Hastings,Carrer Site,Remote,12/09/2023,Offer,,,,,,,https://www.harnham.com/job/e1aeb1da-8723-4ba1-d23d-08d5948a7341-data-analyst-hastings-east-sussex/
Applied,Reverse Tech,Data Engineer,Barcelona,LinkedIn,Remote,12/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3718526636
Applied,Accure,AI,Paris,Pole emploi,,12/09/2023,Offer,,,,,,,https://candidat.pole-emploi.fr/offres/recherche/emploirecherche/detail/161HFWG
Applied,Accure,Data Scientist,Paris,Pole emploi,,12/09/2023,Offer,,,,,,,https://candidat.pole-emploi.fr/offres/recherche/emploirecherche/detail/161HFRG
Applied,AXA,Data Engineer,Chatillon,Carrer Site,,12/09/2023,Offer,,,,,,,https://www.careers.axapartners.com/fr/fr/job/AXPAGLOBAL230007HEYESTALEOFREXTERNALFRFR/Data-Engineer-F-H
Applied,Orange,Data Scientist,Morocco,Carrer Site,,12/09/2023,Offer,,,,,,,https://orange.jobs/jobs/v3/offers/128922?lang=en
Rejected,Orange,Data Engineer,Mougins,Carrer Site,,12/09/2023,Offer,,,,,,16/09/2023,https://orange.jobs/jobs/v3/offers/128138?lang=en
Applied,Orange,Data Engineer,Morocco,Carrer Site,,12/09/2023,Offer,,,,,,,https://orange.jobs/jobs/v3/offers/123400?lang=en
Rejected,Sofrecom,AI,Chatillon,Carrer Site,,12/09/2023,Offer,,,,,,21/09/2023,https://orange.jobs/jobs/v3/offers/121925?lang=en
Applied,Orange,Data Analyst,Morocco,Carrer Site,,12/09/2023,Offer,,,,,,,https://orange.jobs/jobs/v3/offers/128646?lang=en
Rejected,MAIF,Data Analyst,Niort,Carrer Site,,12/09/2023,Offer,,,,,,19/09/2023,https://recrutement.maif.fr/offre-de-emploi/emploi-data-analyst-h-f-pilotage-des-parcours-omnicanaux-usages-distribution-h-f_5503.aspx
Rejected,Welleat,Data Engineer,Lille,Pole emploi,,13/09/2023,Offer,,,,,,13/09/2023,https://candidat.pole-emploi.fr/offres/recherche/detail/161KDHF
Applied,Amiltone,Data Scientist,Villeurbanne,HelloWork,,13/09/2023,Offer,,,,,,,https://www.hellowork.com/fr-fr/emplois/40051607.html
Applied,Amiltone,Data Scientist,Nantes,HelloWork,,13/09/2023,Offer,,,,,,,https://www.hellowork.com/fr-fr/emplois/40041925.html
Applied,EDF,Data Scientist,Puteaux,HelloWork,,13/09/2023,Offer,,,,,,,https://www.hellowork.com/fr-fr/emplois/40023953.html
Applied,Ouest France,Data Scientist,Rennes,HelloWork,,13/09/2023,Offer,,,,,,,https://www.hellowork.com/fr-fr/emplois/36471079.html
Applied,CEA,Data Scientist,Gif-sur-Yvette,Carrer Site,,13/09/2023,Offer,,,,,,,https://www.emploi.cea.fr/Pages/Offre/detailoffre.aspx?idOffre=28320&idOrigine=513&LCID=1036&offerReference=2023-28320
Applied,CEA,Data Scientist,,Carrer Site,,13/09/2023,Spontaneous,,,,,,,
Applied,Viveris,Data Scientist,Strasbourgh,HelloWork,,13/09/2023,Offer,,,,,,,https://www.hellowork.com/fr-fr/emplois/40057927.html
Applied,Ekkiden,Data Scientist,,,,13/09/2023,Spontaneous,,,,,,,
Applied,Urban Linker,AI,Lyon,LinkedIn,,13/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3719350969
Applied,HR Team,Data Engineer,Nice,HelloWork,Hybrid,13/09/2023,Offer,,,,,,,https://www.hellowork.com/fr-fr/emplois/33873190.html
Rejected,Auchan,Data Scientist,Villeneuve-d'Ascq,HelloWork,,13/09/2023,Offer,,,,,,21/09/2023,https://www.hellowork.com/fr-fr/emplois/38675006.html
Applied,Thalès,Data Engineer,Crawlex,Carrer Site,,13/09/2023,Offer,,,,,,,https://careers.thalesgroup.com/global/en/job/R0226574/Data-Engineer
Rejected,Criteo,AI,,Carrer Site,Hybrid,13/09/2023,Offer,,,,,,21/09/2023,https://careers.criteo.com/en/jobs/r17059/machine-learning-engineer/
Applied,Life Plus IO,Data Engineer,Paris,LinkedIn,Hybrid,13/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3719086337
Applied,Noda,DevOps Engineer,Latvia,LinkedIn,Remote,13/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3719336863
Applied,Gaming Innovation Group,DevOps Engineer,Malta,LinkedIn,Remote,13/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3714672769
Applied,PwC,Data Engineer,Neuilly-sur-Seine,Carrer Site,,13/09/2023,Offer,,,,,,,https://www.pwc.com/gx/en/careers/student-job-search/description.html?wdjobreqid=388209WD
Rejected,PwC,Data Analyst,Neuilly-sur-Seine,Carrer Site,,13/09/2023,Offer,,,,,,10/10/2023,https://www.pwc.com/gx/en/careers/student-job-search/description.html?wdjobreqid=388198WD
Rejected,PwC,Data Analyst,Neuilly-sur-Seine,Carrer Site,,13/09/2023,Offer,,,,,,20/09/2023,https://www.pwc.com/gx/en/careers/student-job-search/description.html?wdjobreqid=412646WD
Applied,S4E - Energysoft,Data Scientist,Lorient,LinkedIn,On-site,13/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3719355185
Applied,Alcimed,Data Scientist,Lyon,Welcome to the Jungle,Hybrid,13/09/2023,Offer,,,,,,,https://www.welcometothejungle.com/fr/companies/alcimed/jobs/consultant-data-scientist-healthcare-lyon_lyon?q=6a8cf313140f23f53c2822bdaa6cae60&o=1555101
Rejected,La Banque Postale,Data Scientist,Paris,Welcome to the Jungle,,13/09/2023,Offer,,,,,,25/10/2023,https://www.welcometothejungle.com/fr/companies/la-banque-postale/jobs/inspecteur-audit-data-f-h_paris?q=6a8cf313140f23f53c2822bdaa6cae60&o=2061410
Rejected,BPCE,Data Engineer,Nantes,Welcome to the Jungle,,13/09/2023,Offer,,,,,,29/09/2023,https://www.welcometothejungle.com/fr/companies/groupe-bpce/jobs/data-ingenieur-h-f-nantes-lille_nantes?q=6a8cf313140f23f53c2822bdaa6cae60&o=2060190
Rejected,Acti Conseils,Data Scientist,Blagnac,Pole emploi,,15/09/2023,Offer,,,,,,18/09/2023,https://candidat.pole-emploi.fr/offres/recherche/detail/161MJML
Applied,Equancy,Data Scientist,Paris,Pole emploi,,15/09/2023,Offer,,,,,,,https://candidat.pole-emploi.fr/offres/recherche/detail/161MDNQ
Applied,Valeo,AI,Créteil,Carrer Site,Hybrid,15/09/2023,Offer,,,,,,,https://valeo.wd3.myworkdayjobs.com/fr-FR/valeo_jobs/job/Engineering-Software-Engineer_REQ2023010414
Applied,Valeo,AI,Créteil,Carrer Site,,15/09/2023,Offer,,,,,,,https://valeo.wd3.myworkdayjobs.com/en-US/valeo_jobs/job/AI-Software-Engineer-3D-LIDAR-Perception_REQ2023019259-1
Rejected,Contentsquare,Data Engineer,Paris,LinkedIn,,15/09/2023,Offer,,,,,,15/09/2023,https://www.linkedin.com/jobs/view/3706109664
Rejected,Simplon.co,Data Analyst,Montreuil,LinkedIn,Hybrid,15/09/2023,Offer,,,,,,19/09/2023,https://www.linkedin.com/jobs/view/3716354454
Applied,Alcimed,Data Scientist,Lyon,LinkedIn,On-site,15/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3720165474
Applied,Synamedia,DataOps Engineer,Rennes,LinkedIn,,15/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3720186305
Applied,Inediia,Data Engineer,Lille,LinkedIn,Hybrid,15/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3721086870
Applied,ALFI : Financial Markets Consultancy Services,DevOps Engineer,Paris,LinkedIn,Hybrid,15/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3716347895
Rejected,SFEIR,AI,Paris,Carrer Site,Hybrid,15/09/2023,Offer,,,,,,19/09/2023,https://jobs.lever.co/sfeir/855fb392-7f02-49d8-8f2c-b9f05d615dba?source=6
Applied,Prima,Data Scientist,Milano,Carrer Site,,15/09/2023,Offer,,,,,,,https://www.helloprima.com/careers/jobs/data-scientist-fb887daaec
Applied,CLIKA Inc.,AI,Seoul,LinkedIn,On-site,15/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3713483330
Applied,SFEIR,Data Engineer,Bruxelles,Carrer Site,Hybrid,15/09/2023,Offer,,,,,,,https://jobs.lever.co/sfeir/5b8e1e49-bf16-4b39-9543-20303f8a6a04
Applied,SFEIR,Data Engineer,Luxembourg,Carrer Site,Hybrid,15/09/2023,Offer,,,,,,,https://jobs.lever.co/sfeir/cecd395e-c1d5-4af7-9378-8fa3f5a28212
Rejected,SFEIR,Data Engineer,Nantes,Carrer Site,Hybrid,15/09/2023,Offer,,,,,,22/09/2023,https://jobs.lever.co/sfeir/6e903ae7-d2eb-41cb-8a3b-9046b1a965b9
Applied,Inetum,DevOps Engineer,Sophia Antopolis,LinkedIn,On-site,15/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3600911730
Rejected,Devoteam,DevOps Engineer,Lille,LinkedIn,On-site,15/09/2023,Offer,,,,,,20/09/2023,https://www.linkedin.com/jobs/view/3163053761
Applied,INEDIIA,Data Scientist,Paris,LinkedIn,Hybrid,17/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3721316956
Applied,Adservio Group,Data Engineer,Puteaux,LinkedIn,On-site,18/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3718631621
Rejected,Fortil,DevOps Engineer,Strasbourgh,Carrer Site,,18/09/2023,Offer,,,,,,18/09/2023,https://fortil.group/fr/offres-demploi/offre-demploi/?jobid=8867-81
Applied,Fortil,Data Scientist,,Carrer Site,,18/09/2023,Spontaneous,,,,,,,
Applied,Fortil,DevOps Engineer,Brest,Carrer Site,,18/09/2023,Offer,,,,,,,https://fortil.group/fr/offres-demploi/offre-demploi/?jobid=8679-69
Applied,Fortil,DevOps Engineer,Rennes,Carrer Site,,18/09/2023,Offer,,,,,,,https://fortil.group/fr/offres-demploi/offre-demploi/?jobid=6613-11
Applied,Fortil,Data Analyst,Lille,Carrer Site,,18/09/2023,Offer,,,,,,,https://fortil.group/fr/offres-demploi/offre-demploi/?jobid=8788-96
Applied,Fortil,DevOps Engineer,Nantes,Carrer Site,,18/09/2023,Offer,,,,,,,https://fortil.group/fr/offres-demploi/offre-demploi/?jobid=6272-25
Applied,Fortil,Data Engineer,Lille,Carrer Site,,18/09/2023,Offer,,,,,,,https://fortil.group/fr/offres-demploi/offre-demploi/?jobid=8787-90
Applied,Fortil,DevOps Engineer,Lille,Carrer Site,,18/09/2023,Offer,,,,,,,https://fortil.group/fr/offres-demploi/offre-demploi/?jobid=7421-73
Applied,Atos,Data Scientist,Timisoara,Carrer Site,,18/09/2023,Offer,,,,,,,https://jobs.atos.net/job/Timisoara-Data-Scientist-300088/961833201/
Applied,Thalès,Data Scientist,Limours,Carrer Site,,18/09/2023,Offer,,,,,,,https://careers.thalesgroup.com/global/en/job/R0186457/Data-scientist-Radar-F-H
Applied,Thalès,Data Engineer,Valbonne,Carrer Site,,18/09/2023,Offer,,,,,,,https://careers.thalesgroup.com/global/en/job/R0228444/Data-Engineer-H-F
Rejected,Thalès,Data Engineer,Bristol,Carrer Site,,18/09/2023,Offer,,,,,,18/09/2023,https://careers.thalesgroup.com/global/en/job/R0227224/Data-Engineer
Applied,Thalès,Data Engineer,Crawley,Carrer Site,,18/09/2023,Offer,,,,,,,https://careers.thalesgroup.com/global/en/job/R0226574/Data-Engineer
Applied,Thalès,DevOps Engineer,"Vélizy-Villacoublay,",Carrer Site,,18/09/2023,Offer,,,,,,,https://careers.thalesgroup.com/global/en/job/R0216497/Ing%C3%A9nieur-DevOps-Cloud-F-H
Applied,Devoteam,Data Engineer,Lille,LinkedIn,Hybrid,18/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3683593482
Applied,Inetum,DevOps Engineer,Montpellier,LinkedIn,On-site,18/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3451230655
Applied,Devoteam,DevOps Engineer,Levallois-Perret,LinkedIn,Hybrid,18/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3683590709
Applied,La Banque Postale,Data Analyst,Paris,LinkedIn,On-site,18/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3718937576
Applied,Enjoyourtalent,DevOps Engineer,Spain,LinkedIn,Remote,18/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3718928864
Applied,Heva,Data Scientist,Lyon,LinkedIn,Hybrid,18/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3718930552
Applied,Capgemini,Data Scientist,Paris,Carrer Site,,18/09/2023,Offer,,,,,,,https://www.capgemini.com/fr-fr/jobs/F_yMZooB4aWPH5cPl2mS/cdi-consultant-data-paris-fh/
Applied,Linksium,DataOps Engineer,Annecy,LinkedIn,Hybrid,18/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3712698665
Applied,MP Data,Data Scientist,,Welcome to the Jungle,Hybrid,18/09/2023,Offer,,,,,,,https://www.welcometothejungle.com/fr/companies/mp-data/jobs/data-scientist-data-engineer
Applied,Grant Thornton,Data Analyst,Neuilly,Carrer Site,,18/09/2023,Offer,,,,,,,https://carrieres.grant-thornton.fr/fr/annonce/2075305-consultant-data-analytics-publicbanque-neuilly-hf-92200-neuilly-sur-seine
Applied,Eleven Strategy,Data Scientist,Paris,Welcome to the Jungle,Hybrid,18/09/2023,Offer,,,,,,,https://www.welcometothejungle.com/fr/companies/eleven-strategy/jobs/consultant-en-strategie-data-scientist_paris
Rejected,Jagex,Data Scientist,Cambridge,LinkedIn,Remote,18/09/2023,Offer,,,,,,21/09/2023,https://www.linkedin.com/jobs/view/3718946789
Applied,SoyHuCE,AI,Paris,LinkedIn,Hybrid,18/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3723731378
Applied,Kayak,Data Analyst,Amsterdam,LinkedIn,Hybrid,18/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3715813502
Applied,Edenred,Data Scientist,Paris,Carrer Site,,18/09/2023,Offer,,,,,,,
Rejected,Servier,Data Scientist,Suresnes,Carrer Site,,18/09/2023,Offer,,,,,,23/09/2023,https://jobs.servier.com/servier/job/SURESNES-Data-Scientist-Marketing-(H-F)/938284755/
Applied,Nextra,Data Engineer,Marseille,LinkedIn,Hybrid,19/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3713122883
Applied,Neosoft,Data Engineer,Lille,LinkedIn,Hybrid,19/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3705389718
Rejected,PREREQUIS,Data Engineer,Rennes,LinkedIn,Hybrid,19/09/2023,Offer,,,,,,26/09/2023,https://www.linkedin.com/jobs/view/3720747109
Rejected,Amaris Consulting,Data Engineer,Lille,Carrer Site,,19/09/2023,Offer,,,,,,19/09/2023,https://careers.mantu.com/brands/amaris-consulting/jobs/29040
Applied,Amiltone,Data Engineer,Toulon,LinkedIn,,19/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3715884264
Rejected,Cleyrop,Software Engineer,Paris,LinkedIn,Hybrid,19/09/2023,Offer,,,,,,21/09/2023,https://www.linkedin.com/jobs/view/3716461062
Applied,TotalEnergies,,,Carrer Site,,19/09/2023,Spontaneous,,,,,,,
Applied,Urban Linker,Software Engineer,Paris,LinkedIn,Hybrid,19/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3723682587
Applied,tocco,Software Engineer,Paris,LinkedIn,Hybrid,19/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3723661111
Applied,IDEMIA,,,LinkedIn,,19/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3720759161
Rejected,Dataiku,Software Engineer,Paris,Carrer Site,Hybrid,19/09/2023,Offer,,,,,,22/09/2023,https://www.dataiku.com/careers/job/?id=4908285004
Rejected,Dataiku,Software Engineer,Paris,Carrer Site,Hybrid,19/09/2023,Offer,,,,,,25/09/2023,https://www.dataiku.com/careers/job/?id=4908287004
Rejected,N26,Data Scientist,Barcelona,Carrer Site,Hybrid,19/09/2023,Offer,,,,,,26/09/2023,https://n26.com/en/careers/positions/5300646?gh_jid=5300646
Turn down,REDLab,Data Analyst,Rouen,LinkedIn,Hybrid,19/09/2023,Offer,,,,,,10/11/2023,https://www.linkedin.com/jobs/view/3716925145
Applied,tricefal,Data Scientist,,Reach-out,,19/09/2023,Spontaneous,,,,,,,
Applied,France Télévisions,Data Scientist,Paris,Carrer Site,On-site,19/09/2023,Offer,,,,,,,https://recrutement.francetelevisions.fr/job/Paris-Data-Scientist-Data-Intelligence-&-Computeur-Vision-IT-T/955361055/
Applied,SOFTEAM,Data Engineer,Paris,LinkedIn,Hybrid,19/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3719361455
Applied,Polyconseil,Data Engineer,Paris,LinkedIn,Hybrid,19/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3718929775
Applied,DCG,Data Scientist,Poland,LinkedIn,Remote,19/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3720785243
Applied,Kaino,Data Architect,Nantes,LinkedIn,Hybrid,19/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3717736742
Applied,Devoteam,Cloud Engineer,Lille,LinkedIn,Hybrid,19/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3720493614
